Campaign,Ad Group,Ad Group Type,Ad Group Status
DEWAX | Gruntowa pompa ciepła,Gruntowa ogólnie,Standard,Enabled
DEWAX | Gruntowa pompa ciepła,Cena i koszt,Standard,Enabled
DEWAX | Gruntowa pompa ciepła,Montaż i wykonawca,Standard,Enabled
DEWAX | Gruntowa pompa ciepła,Gruntowa czy powietrzna,Standard,Enabled
DEWAX | Gruntowa pompa ciepła,Pompy Thermokrafft R290,Standard,Enabled
DEWAX | Odwierty i dolne źródło,Odwierty pod pompę ciepła,Standard,Enabled
DEWAX | Odwierty i dolne źródło,Dolne źródło,Standard,Enabled
DEWAX | Odwierty i dolne źródło,Sondy koszowe Helix,Standard,Enabled
DEWAX | Dotacje,Dotacje na gruntową pompę,Standard,Enabled
DEWAX | Marka,DEWAX,Standard,Enabled
DEWAX | Regiony,Region: Wielkopolska,Standard,Enabled
DEWAX | Regiony,Region: Łódzkie,Standard,Enabled
DEWAX | Regiony,Region: Kujawsko-Pomorskie,Standard,Enabled
DEWAX | Regiony,Region: Dolny Śląsk,Standard,Enabled
DEWAX | Regiony,Region: Śląsk,Standard,Enabled
DEWAX | Regiony,Region: Mazowsze,Standard,Enabled
